순위,종목코드,종목명,시가총액,종목선정일,시장,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률,종가,투자연도,투자월
77.0,078160,메디포스트,,2019-12-30,KOSDAQ,3.86,27.51,8.19,-5.14,-7.0,30804.0,2020,2020-01
78.0,031390,녹십자셀,,2019-12-30,KOSDAQ,13.54,24.54,17.23,-7.03,-19.9,46950.0,2020,2020-01
79.0,095660,네오위즈,,2019-12-30,KOSDAQ,1.8,9.71,16.1,38.37,1.2,16950.0,2020,2020-01
80.0,108230,톱텍,,2019-12-30,KOSDAQ,4.83,17.67,7.53,30.25,4.6,9990.0,2020,2020-01
81.0,215000,골프존,,2019-12-30,KOSDAQ,-7.39,3.3,-5.49,105.98,-18.0,68900.0,2020,2020-01
82.0,021240,웅진코웨이,,2019-12-30,KOSPI,3.91,10.05,20.28,25.64,-5.7,93100.0,2020,2020-01
83.0,028260,삼성물산,,2019-12-30,KOSPI,9.71,20.96,13.38,2.84,0.0,108500.0,2020,2020-01
84.0,058470,리노공업,,2019-12-30,KOSDAQ,8.98,15.03,7.17,36.67,26.8,12874.0,2020,2020-01
85.0,036930,주성엔지니어링,,2019-12-30,KOSDAQ,23.66,12.03,21.26,25.58,-14.7,8100.0,2020,2020-01
86.0,253450,스튜디오드래곤,,2019-12-30,KOSDAQ,6.17,18.45,18.97,-12.45,1.7,80900.0,2020,2020-01
87.0,056190,에스에프에이,,2019-12-30,KOSDAQ,8.44,9.6,14.62,33.67,-11.8,46250.0,2020,2020-01
88.0,120110,코오롱인더,,2019-12-30,KOSPI,4.19,19.02,16.51,-13.18,-15.1,49750.0,2020,2020-01
89.0,237880,클리오,,2019-12-30,KOSDAQ,14.92,15.53,-0.9,51.9,8.4,21950.0,2020,2020-01
90.0,006730,서부T&D,,2019-12-30,KOSDAQ,7.17,25.61,-0.67,1.76,-15.3,7515.0,2020,2020-01
91.0,028050,삼성엔지니어링,,2019-12-30,KOSPI,2.13,14.29,11.95,9.09,-10.2,19200.0,2020,2020-01
92.0,020150,일진머티리얼즈,,2019-12-30,KOSPI,8.78,14.3,14.46,4.27,12.3,42750.0,2020,2020-01
93.0,095700,제넥신,,2019-12-30,KOSDAQ,19.5,23.03,10.23,-13.91,-18.7,45396.0,2020,2020-01
94.0,144510,녹십자랩셀,,2019-12-30,KOSDAQ,16.44,18.44,17.7,-17.43,-16.6,37900.0,2020,2020-01
95.0,006280,녹십자,,2019-12-30,KOSPI,4.33,16.74,9.05,-2.57,-6.8,132500.0,2020,2020-01
96.0,001740,SK네트웍스,,2019-12-30,KOSPI,3.85,6.83,17.39,14.23,-16.2,5940.0,2020,2020-01
