순위,거래소,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
114,NYSE,L1,LIBERTY MEDIA CORP,25945.8,2002-06-28,10.0,7.088,-17.02,-20.89,-28.58,,-21.4
115,NYSE,DUK,DUKE ENERGY CORP,25807.1,2002-06-28,93.3,18.007,-2.84,-17.1,-19.55,-17.85,-18.04
116,NYSE,VIVHY,VIVENDI,25664.2,2002-06-28,21.5,21.5,-30.76,-44.16,-60.03,-62.93,-26.23
117,NYSE,PHG,KONINKLIJKE PHILIPS NV,24981.5,2002-06-28,27.6,13.599,-9.8,-7.72,-4.2,5.51,-18.33
118,NYSE,ORANY,ORANGE,24939.5,2002-06-28,9.38,2.342,-50.17,-67.69,-75.43,-79.65,56.19
119,NYSE,BNY,BANK OF NEW YORK MELLON CORP,24567.4,2002-06-28,33.75,19.207,-7.03,-19.28,-16.51,-27.56,-4.53
120,NYSE,KSS,KOHLS CORP,23593.2,2002-06-28,70.08,35.922,-6.56,-1.5,-0.51,11.72,-5.82
121,NYSE,CHU,CHINA UNICOM (HONG KONG) LTD,23560.6,2002-06-28,7.7,5.65,-16.38,-19.79,-31.06,-56.49,-9.22
122,NYSE,BAYRY,BAYER AKTIENGESELLSCHAFT,23452.7,2002-06-28,8.028,6.955,-1.61,-2.92,,,-21.52
123,NYSE,HCA1,HCA HEALTHCARE INC,23419.0,2002-06-28,47.5,45.838,-3.28,7.8,23.36,5.3,-1.05
124,NYSE,THC,TENET HEALTHCARE CORP,23315.7,2002-06-28,190.8,190.8,-3.96,6.76,21.85,38.66,-0.1
125,NYSE,RIO,RIO TINTO LTD,23231.5,2002-06-28,18.5,4.909,-4.16,-7.5,-4.1,3.48,-3.59
126,NASDAQ,CMCSA,COMCAST CORP,22888.8,2002-06-28,8.067,5.08,-18.41,-27.66,-32.78,-43.66,-10.26
127,NYSE,HI1,HOUSEHOLD INTERNATIONAL INC,22689.0,2002-06-28,49.7,48.809,-2.35,-12.06,-13.46,-24.24,-14.14
128,NYSE,COP,CONOCOPHILLIPS,22540.2,2002-06-28,29.44,10.29,2.32,-5.67,-1.07,5.92,-12.11
129,NYSE,EMR,EMERSON ELECTRIC CO,22508.3,2002-06-28,26.755,13.956,-7.5,-6.15,-5.05,-9.11,-4.79
130,NYSE,CCL,CARNIVAL CORP LTD,22038.0,2002-06-28,27.69,17.166,-8.91,-14.9,-0.66,-8.46,-4.3
131,NYSE,STM,STMICROELECTRONICS NV,21646.4,2002-06-28,24.33,14.567,-9.56,-28.21,-23.1,-27.28,-12.49
